ETER ID,Institution Name,Reference year,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,Flag Academic Staff FTE,Total academic staff (HC),Flag Academic Staff HC,Country code
CH0018,Fachhochschule Ostschweiz,2012,public,uas,1041.66,708.13,5377.0,0,151.0,0,CH
CH0019,Züricher Fachhochschule,2012,public,uas,3153.88,2134.74,18931.0,0,66.0,2,CH
CH0020,Kalaidos Fachhochschule,2012,private,uas,106.82,66.65,1728.0,0,112.0,2,CH
CH0021,Haute école pédagogique du Canton de Vaud,2012,public,other,182.24,121.85,1423.0,0,157.0,0,CH
CH0022,Haute école pédagogique du Valais,2012,public,other,67.33,57.13,403.0,0,174.0,0,CH
CH0023,Haute école pédagogique du Canton de Fribourg,2012,public,other,108.6,72.41,400.0,0,372.0,0,CH
CH0024,Haute école pédagogique BEJUNE,2012,public,other,123.83,74.19,553.0,0,59.0,0,CH
CH0026,Pädagogische Hochschule Bern,2012,public,other,427.11,307.88,2400.0,0,112.0,0,CH
CH0028,Interkantonale Hochschule für Heilpädagogik,2012,public,other,126.0,89.14,973.0,0,427.0,2,CH
CH0029,Pädagogische Hochschule St.Gallen,2012,public,other,245.42,160.0,1165.0,0,233.0,0,CH
CH0030,Pädagogische Hochschule Thurgau,2012,public,other,151.51,73.65,658.0,0,396.0,0,CH
CH0031,Pädagogische Hochschule Schaffhausen,2012,public,other,21.52,17.39,158.0,0,320.0,0,CH
CH0032,Pädagogische Hochschule Graubünden,2012,public,other,67.81,57.74,371.0,0,275.0,0,CH
CH0033,Eidgenössisches Hochschulinstitut für Berufsbildung,2012,public,other,197.54,120.62,620.0,0,138.0,0,CH
CH0035,Universitäre Fernstudien Schweiz,2012,private,other,63.97,51.45,789.0,0,0.0,0,CH
CH0036,Pädagogische Hochschule Luzern,2012,public,other,244.55,166.66,1716.0,0,9.0,0,CH
CH0037,Pädagogische Hochschule Schwyz,2012,public,other,37.56,30.46,246.0,0,46.0,0,CH
CH0038,Pädagogische Hochschule Zug,2012,public,other,76.92,59.52,316.0,0,33.0,0,CH
CY0001,Πανεπιστήμιο Κύπρου,2012,public,uni,926.0,396.0,6474.0,0,79.0,0,CY
CY0002,Ανοικτό Πανεπιστήμιο Κύπρου,2012,public,uni,312.0,220.0,3468.0,1,23.0,0,CY
CY0003,Τεχνολογικό Πανεπιστήμιο Κύπρου,2012,public,uni,640.0,245.0,1773.0,0,57.0,0,CY
CY0004,Πανεπιστήμιο Λευκωσίας,2012,private,uni,337.0,216.0,4171.0,0,54.0,0,CY
CY0005,Πανεπιστήμιο Frederick,2012,private,uni,273.0,202.0,3438.0,0,71.0,0,CY
CY0006,Ευρωπαϊκό Πανεπιστήμιο Κύπρου,2012,private,uni,276.0,138.0,4166.0,0,51.0,2,CY
CY0010,Αστυνομική Ακαδημία Κύπρου,2012,public,other,0.0,0.0,0.0,0,39.0,0,CY
CY0013,Alexander College,2012,private,uas,25.0,9.0,112.0,0,59.0,0,CY
CY0014,American College,2012,private,uas,56.0,35.0,455.0,1,,0,CY
CY0016,Casa College,2012,private,uas,24.0,15.0,430.0,0,22.0,0,CY
CY0017,C.D.A. College,2012,private,uas,67.0,45.0,749.0,0,32.0,0,CY
CY0018,College of Tourism and Hotel Management,2012,private,uas,23.0,12.0,117.0,0,23.0,0,CY
CY0019,Cyprus College,2012,private,uas,42.0,27.0,686.0,0,,0,CY
CY0021,Cyprus International Institute of Management,2012,private,uas,29.0,8.0,437.0,0,18.0,0,CY
CY0023,Frederick Institute of Technology,2012,private,uas,68.0,47.0,289.0,0,23.0,0,CY
CY0024,Global College,2012,private,uas,43.0,37.0,605.0,0,376.0,0,CY
CY0025,Intercollege,2012,private,uas,32.0,20.0,367.0,0,69.0,0,CY
CY0026,KES College,2012,private,uas,52.0,28.0,340.0,0,721.0,0,CY
CY0033,The CTL Eurocollege,2012,private,uas,18.0,15.0,226.0,0,2033.0,0,CY
CY0035,The Philips College,2012,private,uas,34.0,20.0,204.0,0,197.0,0,CY
CY0038,Πανεπιστημιο Νεαπολης,2012,private,uni,64.0,32.0,728.0,0,886.0,0,CY
CY0039,The Cyprus Institute,2012,private,other,18.0,12.0,,0,2007.0,0,CY
CY0040,Larnaca College,2012,private,uas,,,,0,733.0,0,CY
CY0041,Cyprus School of Molecular Medicine-The Cyprus Institute of Neurology and Genetics,2012,private,other,8.0,2.0,27.0,0,610.0,0,CY
CY0042,University of Central Lancashire - Cyprus,2012,private,uni,62.0,23.0,136.0,0,323.0,0,CY
CZ0001,Akademie múzických umění v Praze,2012,public,uni,419.27,265.0,1264.0,0,758.0,0,CZ
CZ0002,Akademie výtvarných umění v Praze,2012,public,uni,106.22,62.58,297.0,0,404.0,0,CZ
CZ0003,Česká zemědělská univerzita v Praze,2012,public,uni,1128.36,612.61,22139.0,0,543.0,0,CZ
CZ0004,České vysoké učení technické v Praze,2012,public,uni,2603.64,1466.46,19511.0,2,6251.0,0,CZ
CZ0005,Janáčkova akademie múzických umění v Brně,2012,public,uni,268.08,142.23,639.0,0,1193.0,0,CZ
CZ0006,Jihočeská univerzita v Českých Budějovicích,2012,public,uni,1076.86,627.81,12351.0,0,629.0,0,CZ
CZ0007,Masarykova univerzita,2012,public,uni,2270.66,1246.72,36690.0,2,433.0,0,CZ
CZ0008,Mendelova univerzita v Brně,2012,public,uni,969.27,565.09,9994.0,0,330.0,2,CZ
CZ0009,Ostravská univerzita,2012,public,uni,720.4,441.32,9879.0,0,1186.0,0,CZ
CZ0010,Slezská univerzita v Opavě,2012,public,uni,558.24,270.98,7643.0,0,687.0,0,CZ
CZ0011,Technická univerzita v Liberci,2012,public,uni,733.26,434.44,7927.0,2,617.0,0,CZ
CZ0012,Univerzita Hradec Králové,2012,public,uni,569.38,346.35,9040.0,0,105.0,0,CZ
CZ0013,Univerzita J. E. Purkyně v Ústí nad Labem,2012,public,uni,726.28,417.83,9791.0,0,86.0,0,CZ
CZ0014,Univerzita Karlova v Praze,2012,public,uni,6792.06,3895.9,41568.0,2,81.0,0,CZ
CZ0015,Univerzita Palackého v Olomouci,2012,public,uni,1446.16,832.63,20309.0,2,1069.0,2,CZ
CZ0016,Univerzita Pardubice,2012,public,uni,790.79,431.96,9996.0,2,916.0,0,CZ
CZ0017,Univerzita Tomáše Bati ve Zlíně,2012,public,uni,662.58,393.6,11492.0,0,,0,CZ
CZ0018,Veterinární a farmaceutická univerzita Brno,2012,public,uni,534.79,255.71,2837.0,0,40.0,0,CZ
CZ0019,Vysoká škola báňská - Technická univerzita Ostrava,2012,public,uni,1820.03,985.13,19193.0,2,55.0,2,CZ
CZ0020,Vysoká škola ekonomická v Praze,2012,public,uni,931.67,592.32,17537.0,0,138.0,0,CZ
CZ0021,Vysoká škola chemicko-technologická v Praze,2012,public,uni,830.77,492.81,3280.0,0,,0,CZ
CZ0022,Vysoká škola polytechnická Jihlava,2012,public,other,153.18,90.23,2794.0,0,159.0,0,CZ
CZ0023,Vysoká škola technická a ekonomická v Českých Budějovicích,2012,public,other,112.74,58.31,3471.0,0,,2,CZ
CZ0024,Vysoká škola umělecko-průmyslová v Praze,2012,public,uni,122.72,70.89,467.0,0,,0,CZ
CZ0025,Vysoké učení technické v Brně,2012,public,uni,1682.44,857.94,20478.0,2,,2,CZ
CZ0026,Západočeská univerzita v Plzni,2012,public,uni,1241.77,689.28,14115.0,2,,0,CZ
CZ0027,"Bankovní institut vysoká škola, a.s.",2012,private,other,,,3708.0,0,20.0,0,CZ
CZ0028,"Evropský polytechnický institut, s.r.o.",2012,private,other,51.45,29.89,758.0,0,,0,CZ
CZ0029,"Vysoká škola hotelová v Praze 8, s.r.o.",2012,private,other,94.22,54.32,1853.0,0,,0,CZ
CZ0030,"Vysoká škola finanční a správní, o.p.s.",2012,private,uni,195.25,117.22,4983.0,0,,0,CZ
CZ0031,"Vysoká škola Karlovy Vary, o.p.s.",2012,private,other,,,607.0,0,,0,CZ
CZ0032,"Vysoká škola podnikání, a.s.",2012,private,other,48.3,30.15,1194.0,0,,0,CZ
CZ0033,ŠKODA AUTO VYSOKÁ ŠKOLA o.p.s.,2012,private,other,,,1102.0,0,,0,CZ
CZ0034,"International  ART CAMPUS Prague, s.r.o.",2012,private,other,,,230.0,0,,0,CZ
CZ0036,"Soukromá vysoká škola ekonomických studií, s.r.o.",2012,private,other,,,341.0,0,,0,CZ
CZ0037,"Vysoká škola obchodní v Praze, o.p.s.",2012,private,other,,,3261.0,0,27.0,0,CZ
CZ0038,"Akademie STING, o.p.s.",2012,private,other,28.81,16.21,1135.0,0,,0,CZ
CZ0039,"Metropolitní univerzita v Praze, o.p.s.",2012,private,uni,,,5671.0,0,,0,CZ
CZ0040,"Univerzita Jana Amose Komenského Praha, s.r.o.",2012,private,uni,,,8006.0,0,,0,CZ
CZ0041,"Vysoká škola Karla Engliše v Brně, a.s.",2012,private,other,,,678.0,0,,0,CZ
CZ0042,"Anglo-americká vysoká škola, o.p.s.",2012,private,other,,,520.0,0,,0,CZ
CZ0043,"Pražská vysoká škola psychosociálních studií, s.r.o.",2012,private,other,,,343.0,0,,0,CZ
CZ0044,"Vysoká škola aplikovaného práva, s.r.o.",2012,private,other,,,365.0,0,18.0,0,CZ
CZ0045,"Vysoká škola ekonomie a managementu, o.p.s.",2012,private,other,,,2827.0,0,,0,CZ
CZ0046,"University of New York in Prague, s.r.o.",2012,private,other,,,580.0,0,,0,CZ
CZ0047,"Vysoká škola manažerské informatiky, ekonomiky a práva, a.s.",2012,private,other,47.0,29.5,1484.0,0,,0,CZ
CZ0048,"Vysoká škola mezinárodních a veřejných vztahů Praha, o.p.s.",2012,private,other,,,1166.0,0,32.0,0,CZ
